"annex_sequence","source_page","hazard_group","mapped_code","mapped_working_name","definition_text","processing_text","source_text","reference_year_text","production_specific_text"
"1","9","Drought","D-01","Standardized Precipitation Index (SPI)","Drought is represented by the Standardised Precipitation Index (SPI), which represents the average number of drought events per year per pixel. Drought events are identified as three consecutive months with less than 50% of the average precipitation.","","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","1974-2004","No"
"2","9","Drought","D-02","Failed season","The failed season method was developed to assess and map drought risk by estimating the probability of a failed growing season. It is conservatively defined as one with sufficient rainfall at the start for germination and establishment, fewer than 50 growing days, and a clearly defined end. Thus, the failed season approach depends upon the use of a reliable means to assess the water-and temperature-constrained length of the growing period. The model can be used as a standardised index of cropping reliability, reported as percentages.","","Failed Season (Hyman et al., 2025)","100 years","Yes, as it is based on the cost of production exceeding the value of the harvest. Do not specify a specific crop."
"3","9","Drought","D-03","Available blue water","Available blue water (in cm/year): the total amount of renewable freshwater available to a sub-basin with upstream consumption removed. Computed as internal sub-basin runoff plus the accumulated water flowing into the sub-basin from upstream, where upstream consumption is already removed (i.e., discharge). This includes freshwater from surface flow, interflow, and groundwater recharge.","","Aqueduct 4.0 (Kuzma et al., 2023; WRI, 2023)","2030","No"
"4","9","Drought","D-04","Gross water demand and net consumption","Gross water demand is the maximum potential water required to meet sectoral demand, and net consumption is the portion of demand that is lost in use - evaporated or incorporated into a product - and not returned to the system, for four sectors: domestic, industrial, irrigation, and livestock. The (2x4=) 8 gridded data sets are available for each month between January 1960 and December 2019.","","Aqueduct 4.0 (Kuzma et al., 2023; WRI, 2023)","2030","No"
"5","10","Drought","D-05","Baseline water stress","The baseline water stress (in cm/year) measures the ratio of total water demand to available renewable surface and groundwater supplies. Water demand includes domestic, industrial, irrigation, and livestock consumptive and nonconsumptive uses. Available renewable water supplies include the impact of upstream consumptive water users and large dams on downstream water availability. Higher values indicate more competition among users.","Manually masked","Aqueduct 4.0 (Kuzma et al., 2023; WRI, 2023)","2030","No"
"6","10","Flooding","F-01","Dartmouth flood frequency","Derived from the Global Flood Frequency and Distribution of the Dartmouth Flood Observatory. The data were computed from a global listing of extreme flood events between 1985 and 2003 (poor or missing data in the early to mid-1990s), compiled by Dartmouth Flood Observatory and georeferenced to the nearest degree. The resultant flood frequency grid was then classified into 10 classes of approximately equal number of grid cells. The greater the grid cell value in the final data set, the higher the relative frequency of flood occurrence.","Manually masked","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","1985-2003","No"
"7","10","Flooding","F-02","River flood hazard","River hazard (RCP 8.5) simulates the water volume that resides in the flood plains of rivers at each time step. The future climate conditions were simulated using global climate models forced with representative concentration pathways (RCPs). The input data for the hazard simulations were sourced from the Impact Model Intercomparison Project (ISI-MIP) forcing data from 2010 to 2049. Bias correction was used for rainfall data. The pixel value represents in meters above ground level for a 1-in-10 annual probability flood event.","Manually masked","Aqueduct Floods (Ward et al., 2020; WRI, 2020)","2030","No"
"8","10-11","Flooding","F-03","Coastal flood hazard","Coastal flood risk assessment, including future impacts of sea level rise, The hazard layers have been simulated without considering the presence of flood protection. To estimate the coastal hazard, the model utilized the Global Tide and Surge Reanalysis (GTSR) dataset as a database of extreme water levels recorded from 1979 to 2014. To translate near-shore tide and surge levels to overland inundation, a GIS-based inundation routine was used. The routine inundates areas that are hydraulically connected to the sea during a given extreme sea level event. The model uses the Multi-Error-Removed Improved-Terrain (MERIT) DEM at a 30""x30"" resolution as an underlying topography. The pixel value represents in meters above ground level for a 1-in-10 annual probability flood event.","Manually masked","Aqueduct Floods (Ward et al., 2020; WRI, 2020)","2030","No"
"9","11","Changed rainfall","R-01","LGP flip over 120 days","Changed in rainfall is mainly defined by the length of the growing period (LGP). LGP 5% is set by the average number of days per year, in which a growing day is one in which the average air temperature is greater than 6 degrees C and the ratio of actual to potential evapotranspiration exceeds 0.35. Areas where the length of the growing period flips from >120 days per year to <120 days per year.","","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","2050","No"
"10","11","Changed rainfall","R-02","LGP flip over 90 days","Changes in rainfall are mainly defined by the length of the growing period (LGP). LGP 5% is set by the average number of days per year, in which a growing day is one in which the average air temperature is greater than 6 degrees C and the ratio of actual to potential evapotranspiration exceeds 0.35. Areas where the length of the growing period flips from >90 days per year to <90 days per year.","","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","2050","No"
