"groups","nhaz","hii","evidence_type","refs","public_note","audit_status"
"D","1","3","literature-backed","FAO2023; SCIP2023","Methods note cites average global yield loss and wheat example","Seeded"
"F","1","2","literature-backed","Furtak2023; FAO2023","Single-hazard flood score tied to global yield-loss framing","Seeded"
"R","1","3","literature-backed","Holleman2020","Changed-rainfall single-hazard score cites average global yield reduction","Seeded"
"S","1","2","literature-backed","Shrivastava2014","Salinity single-hazard score cites major-crop loss and expanding salt-affected area","Seeded"
"T","1","3","literature-backed","FAO2023; SCIP2023","Single-hazard heat score cites global and wheat yield-loss framing","Seeded"
"DI","1","1","literature-backed","Luan2021","Irrigation treated as strong drought buffer","Seeded"
"DW","1","2","mixed","Bakar2025; Expert opinion (Urfels Anton); Heino2023","Soil moisture buffering supported but expert input also used","Seeded"
"FW","1","3","literature-backed","Penna2011; Moragoda2022; Tiefenbacher2021; Massari2023","Antecedent moisture said to worsen flooding and waterlogging severity","Seeded"
"TI","1","1","mixed","Birthal2021; Expert opinion (Urfels Anton); Lehmann2020; Thiery2017","Heat mitigation through irrigation supported by literature plus expert review","Seeded"
"TW","1","3","mixed","Zhang2022; Albasha2024","Source note itself presents partly offsetting mechanisms","Seeded"
"DF","2","2","literature-backed","Luk1985","Drought-flood interaction treated as context-dependent with modest dampening in source note","Seeded"
"DR","2","4","mixed","Shah2021; Seviratne2021; Zandalinas2018; Fowler2021; Bal2022; Asada2009","Source note includes both positive and negative mechanisms across contexts","Seeded"
"DT","2","4","literature-backed","Furtak2023; Sanchez-Bermudez2022; SCIP2023","Drought-heat interaction treated as strongly compounding","Seeded"
"FS","2","3","mixed","Expert opinion (Wei Xiaojing); Sanchez-Bermudez2022; Colmer2008; Su2025; SCIP2023","Flood-salinity score explicitly includes conflicting evidence and expert input","Seeded"
"FR","2","3","literature-backed","Seviratne2021; Panagos2017","Flood and changed-rainfall interaction treated as amplifying through intense rainfall and waterlogging","Seeded"
"RS","2","3","literature-backed","Eswar2021","Changed rainfall linked to salinity through poor leaching and dryland salinization","Seeded"
"RT","2","4","literature-backed","Seviratne2021; Walsh2020; Muluneh2016","Changed rainfall and heat treated as compounding","Seeded"
"ST","2","4","literature-backed","Machado2017; Munns2008; Sanchez-Bermudez2022; SCIP2023","Salinity and heat treated as severely compounding","Seeded"
"DFR","3","5","extrapolated","Extrapolation from literatures","Three-way score documented as extrapolation not direct evidence synthesis","Seeded"
"DFS","3","5","extrapolated","Extrapolation from literatures","Three-way score documented as extrapolation not direct evidence synthesis","Seeded"
"DRS","3","5","extrapolated","Extrapolation from literatures","Three-way score documented as extrapolation not direct evidence synthesis","Seeded"
"FRS","3","5","extrapolated","Extrapolation from literatures","Three-way score documented as extrapolation not direct evidence synthesis","Seeded"
"DFT","3","5","extrapolated","Extrapolation from literatures","Three-way score documented as extrapolation not direct evidence synthesis","Seeded"
