hazard_group,code,variable_name,resolution,baseline_dataset,baseline_period,future_dataset,future_period,future_scenario,cmip_version,downscaling_bias_correction,gcm_ensemble,evidence_status,notes
Drought,D-01,SPI (drought-event frequency),2.5deg (WASP native) -> 0.05deg CRI grid,"WASP (IRI), via Dilley 2005 / Thornton (pers. comm.) -- CRI doc labels it SPI/Ericksen 2011",1980-2000 (WASP); doc says 1974-2004,N/A (historic layer),N/A,N/A,N/A (observational),N/A,N/A,conflicted,"Bert/Philip email: drought = WASP at 2.5deg, 1980-2000, event = monthly precip <=50% of long-term median for 3+ consecutive months; Dilley 2005 top-two-deciles. CRI doc says SPI 1974-2004 (Ericksen). Not the WMO-standard SPI either way. Coarse 2.5deg makes the resolution modernization case strong."
Drought,D-02,Failed season,pending,Hyman et al. 2025 (Failed Season),100 years,N/A,N/A,N/A,N/A (observational),pending,N/A,conflicted,"Cited reference 'Hyman et al. 2025 (Failed Season)' is actually a Gulf of Mexico recreational-fishery paper (arXiv 2503.17293) -- a mis-citation, not a crop failed-season source. Likely intended author is Glenn Hyman (Alliance Bioversity-CIAT), not A. Challen Hyman (fisheries); specific paper not found via web search (may be unpublished/technical report). Correct reference, whether active in production CRI, and access path all = questions for Bert."
Drought,D-03,Available blue water,sub-basin,PCR-GLOBWB 2 (obs-forced),1960-2014 (GCM hist),Aqueduct 4.0 (CMIP6),2030 (.2050.2080),SSP1-2.6/3-7.0/5-8.5 (slice TBC),CMIP6 (confirm v4.0),bias-corrected to obs,"5 GCMs (MPI-ESM1-2-HR, MRI-ESM2-0, UKESM1-0-LL, +2)",verified-candidate (confirm current version),"Bert: 'seems CMIP5 is being used in the CRI, but Aqueduct v4.0 is available using CMIP6'. If on older Aqueduct, upgrade to 4.0/CMIP6 is a real modernization, not just Keep."
Drought,D-04,Gross water demand and net consumption,sub-basin,PCR-GLOBWB 2 (obs-forced),1960-2014 (GCM hist; 8 monthly sets 1960-2019),Aqueduct 4.0 (CMIP6),2030 (.2050.2080),SSP1-2.6/3-7.0/5-8.5 (slice TBC),CMIP6 (confirm v4.0),bias-corrected to obs,"5 GCMs (MPI-ESM1-2-HR, MRI-ESM2-0, UKESM1-0-LL, +2)",verified-candidate (confirm current version),"8 monthly sectoral sets Jan1960-Dec2019; confirm Aqueduct version"
Drought,D-05,Baseline water stress,sub-basin,PCR-GLOBWB 2 (obs-forced),1960-2014 (GCM hist),Aqueduct 4.0 (CMIP6),2030 (.2050.2080),SSP1-2.6/3-7.0/5-8.5 (slice TBC),CMIP6 (confirm v4.0),bias-corrected to obs,"5 GCMs (MPI-ESM1-2-HR, MRI-ESM2-0, UKESM1-0-LL, +2)",verified-candidate (confirm current version),"Manually masked in CRI; confirm Aqueduct version"
Flooding,F-01,Dartmouth flood frequency,nearest degree (source); 0.05deg CRI grid,Dartmouth Flood Observatory (Dilley 2005 top-two-deciles),1985-2003,N/A (historic layer),N/A,N/A,N/A (observational),N/A,N/A,verified-current,"Bert/Philip confirm: Dilley 2005 top-two-deciles + Dartmouth events 1985-2003; poor/missing data early-mid 1990s"
Flooding,F-02,River flood hazard,pending,ISI-MIP forcing (per CRI doc),,ISI-MIP (GCMs forced with RCPs),2030 (input 2010-2049),RCP8.5,CMIP5-era (ISI-MIP/RCP),present: bias-corrected rainfall (technique unspecified); downscaling unconfirmed,pending,verified-current,"1-in-10 event; scenario+forcing stated in CRI doc. Bias-correction technique (delta/quantile/NN) not named."
Flooding,F-03,Coastal flood hazard,MERIT DEM 30arcsec (topography); 0.05deg CRI grid,GTSR extreme water levels,1979-2014,Sea-level-rise projection,2030,RCP,CMIP5-era,pending,pending,verified-current,"No flood protection assumed; 1-in-10 event"
Changed rainfall,R-01,LGP flip over 120 days,0.05deg (CRI grid),Thornton baseline (Jones & Thornton 2009/2013/2015),~2000s,Downscaled CMIP5 (Jones & Thornton 2009/2013/2015),2050s,RCP8.5,CMIP5 (provenance uncertain),present (technique unconfirmed),17 CMIP5 GCMs (Philip Thornton pers. comm.),conflicted,"Philip email (2026-04-30): 17 CMIP5 GCMs, RCP8.5, 2050s. Ericksen 2011 report = older CMIP3/A2/4-GCM. Bert unsure of exact provenance; notebook flags possibly pre-CMIP5. Confirm with Bert. Still pre-CMIP6/RCP (not SSP) -> modernization to CMIP6/SSP warranted."
Changed rainfall,R-02,LGP flip over 90 days,0.05deg (CRI grid),Thornton baseline (Jones & Thornton 2009/2013/2015),~2000s,Downscaled CMIP5 (Jones & Thornton 2009/2013/2015),2050s,RCP8.5,CMIP5 (provenance uncertain),present (technique unconfirmed),17 CMIP5 GCMs (Philip Thornton pers. comm.),conflicted,"Same lineage as R-01; reliable-crop-growing-days >90 to <90 threshold (Nachtergaele et al. 2002)"
