"request_id","code","hazard_group","request_scope","shared_request_key","topic","short_request","status","response_link","notes"
"bert-b4t-001","D-01","Drought","row","","Current drought lineage","Please confirm the exact D-01 source layer file/version, underlying precipitation dataset, climatology baseline period, and drought-event calculation, including whether the layer is true SPI or a 3-month less-than-50-percent-of-average-precipitation proxy.","Open","","Needed before current-lineage row can move above Unclear. If available, also share any script, methods note, or formula used to generate the current layer."
"bert-b4t-002","D-02","Drought","row","","Failed season source","Please share exact dataset access path, methods paper, and whether failed season is active in current production CRI.","Open","","Current row blocked on access and operational confirmation."
"bert-b4t-003","D-03","Drought","shared","aqueduct-4-current-lineage","Aqueduct climate inputs","Please list exact baseline and future climate inputs, scenario mapping, and model set used for current Aqueduct available blue water row.","Open","","Shared Aqueduct request."
"bert-b4t-004","D-04","Drought","shared","aqueduct-4-current-lineage","Aqueduct aggregation","Please list exact climate inputs, aggregation choices, scenario mapping, and model set used for current Aqueduct gross water demand / net consumption row.","Open","","Shared Aqueduct request."
"bert-b4t-005","D-05","Drought","shared","aqueduct-4-current-lineage","Aqueduct masking","Please list exact climate inputs, masking workflow, scenario mapping, and model set used for current Aqueduct baseline water stress row.","Open","","Shared Aqueduct request."
"bert-b4t-006","F-01","Flooding","row","","Dartmouth source details","Please confirm exact source asset, resolution, and extraction method used for Dartmouth flood frequency in current CRI.","Open","","Current row still To do."
"bert-b4t-007","F-02","Flooding","shared","aqueduct-floods-current-lineage","Aqueduct Floods river lineage","Please list exact flood-model setup, climate forcing, scenario mapping, and model set used for current river flood hazard row.","Open","","Shared Aqueduct Floods request."
"bert-b4t-008","F-03","Flooding","shared","aqueduct-floods-current-lineage","Aqueduct Floods coastal lineage","Please list exact sea-level / climate forcing, scenario mapping, and model set used for current coastal flood hazard row.","Open","","Shared Aqueduct Floods request."
"bert-b4t-009","R-01","Changed rainfall","shared","legacy-ccafs-lgp-current-lineage","LGP 120 current method","Please confirm exact baseline data, future forcing, downscaling, bias correction, onset logic, and GCM list used for current LGP >120 to <120 row.","Open","","Core current-lineage blocker."
"bert-b4t-010","R-02","Changed rainfall","shared","legacy-ccafs-lgp-current-lineage","LGP 90 current method","Please confirm exact baseline data, future forcing, downscaling, bias correction, onset logic, and GCM list used for current LGP >90 to <90 row.","Open","","Core current-lineage blocker."
"bert-b4t-011","R-03","Changed rainfall","row","","Rainfall CV lineage","Please confirm exact source dataset, resolution, and derivation used for annual rainfall coefficient of variation row.","Open","","Needed for current-state table."
"bert-b4t-012","R-04","Changed rainfall","shared","aqueduct-4-current-lineage","Aqueduct variability lineage","Please list exact climate inputs, scenario mapping, and model set used for current intra-annual variability row.","Open","","Shared Aqueduct request."
"bert-b4t-013","R-05","Changed rainfall","shared","aqueduct-4-current-lineage","Aqueduct variability lineage","Please list exact climate inputs, scenario mapping, and model set used for current seasonal variability row.","Open","","Shared Aqueduct request."
"bert-b4t-014","T-01","High temperature","row","","Humid heat lineage","Please confirm exact source dataset, derivation method, thresholds, and resolution used for current extreme humid heat days row.","Open","","Current row still Unclear."
"bert-b4t-015","T-02","High temperature","shared","legacy-ccafs-heat-current-lineage","Heat threshold current method","Please confirm exact baseline data, future forcing, downscaling, bias correction, growing-season logic, and GCM list used for current Tmax flip over 30C row.","Open","","Core current-lineage blocker."
"bert-b4t-016","T-03","High temperature","row","","Row meaning","Please confirm whether LGP-linked temperature stress is distinct from changed-rainfall LGP rows, and if so provide exact source and method.","Open","","Row currently Blocked."
"bert-b4t-017","S-01","Salinity","row","","GSASmap asset","Please share exact GSASmap asset or page used in current CRI plus map resolution.","Open","","Needed for current-state evidence."
"bert-b4t-018","S-02","Salinity","row","","ISRIC salinity asset","Please share exact ISRIC salinity asset, resolution, and derivation used in current CRI.","Open","","Needed for current-state evidence."
"bert-b4t-019","W-01","Soil water","row","","WoSIS-derived layer","Please confirm exact gridded product, resolution, and extraction method used for water retention volume row.","Open","","Current row still Unclear."
"bert-b4t-020","W-02","Soil water","row","","SoilGrids variable mapping","Please confirm exact SoilGrids variable mapping and extraction used for available water capacity 30-60 cm row.","Open","","Current row still Unclear."
"bert-b4t-021","W-03","Soil water","row","","Rooting zone access","Please share exact dataset access path and confirm operational use for rooting zone water storage capacity row.","Open","","Current row Blocked."
"bert-b4t-022","W-04","Soil water","row","","Plant-available soil water access","Please share exact dataset access path and confirm operational use for plant-available soil water row.","Open","","Current row Blocked."
"bert-b4t-023","I-01","Irrigation","row","","Irrigation asset and use","Please share exact area-equipped-with-irrigation dataset access path, resolution, and how row is used inside HII / CRI workflow.","Open","","Current row Blocked."
