"hazard_group","dataset_or_indicator","definition_summary","source_label","reference_period_or_horizon","production_specific","processing_notes","known_issue_or_upgrade_need","code","annex_sequence","review_agent_version","resolution","baseline_dataset","baseline_period","future_dataset","future_period","future_scenario","cmip_version","downscaling_method","bias_correction_method","gcm_ensemble_used","evidence_status","evidence_notes"
"Drought","Standardized Precipitation Index (SPI)","Average number of drought events per year per pixel using three consecutive months with less than 50 percent of average precipitation","Legacy CCAFS / Thornton drought proxy","1974-2004","No","Legacy proxy from older CCAFS workflow","Historic layer with older lineage and unclear future-scenario alignment","D-01","1","cri-modernization-review v0.3.0","To do","Legacy CCAFS / Thornton proxy","1974-2004","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unclear","Exact current layer file/version, underlying precipitation input, climatology baseline period, and event-calculation method remain unverified from reviewed public-safe materials."
"Drought","Failed season","Probability of failed growing season based on germination establishment fewer than 50 growing days and defined season end","Failed season layer (Hyman et al. 2025)","100 years","Yes","Reported as percentages","Need confirmation of whether and how currently used in production CRI","D-02","2","cri-modernization-review v0.3.0","To do","Failed season layer (Hyman et al. 2025)","100 years","N/A","N/A","N/A","N/A","To do","To do","N/A","Blocked","Public dataset location and exact operational method are not yet verified."
"Drought","Available blue water","Renewable freshwater available to sub-basin with upstream consumption removed","Aqueduct 4.0","2030","No","Water-risk style indicator","2030 horizon not aligned with 2050 threshold-flip layers","D-03","3","cri-modernization-review v0.3.0","Varies","Aqueduct 4.0 product","To do","Aqueduct 4.0 product","2030","To do","To do","To do","To do","Blocked","Unclear","Exact climate inputs, scenario mapping, and model list for the B4T slice have not yet been extracted."
"Drought","Gross water demand and net consumption","Potential water required and water lost in use across domestic industrial irrigation and livestock sectors","Aqueduct 4.0","2030","No","Monthly gridded sectoral demand products","2030 horizon not aligned with 2050 threshold-flip layers","D-04","4","cri-modernization-review v0.3.0","Varies","Aqueduct 4.0 product","To do","Aqueduct 4.0 product","2030","To do","To do","To do","To do","Blocked","Unclear","Exact climate inputs, aggregation choices, and model list for the B4T slice have not yet been extracted."
"Drought","Baseline water stress","Ratio of total water demand to available renewable surface and groundwater supplies","Aqueduct 4.0","2030","No","Methods note says manually masked","2030 horizon not aligned with 2050 threshold-flip layers","D-05","5","cri-modernization-review v0.3.0","Varies","Aqueduct 4.0 product","To do","Aqueduct 4.0 product","2030","To do","To do","To do","To do","Blocked","Unclear","Exact climate inputs, masking workflow, and model list for the B4T slice have not yet been extracted."
"Flooding","Dartmouth flood frequency","Global flood frequency and distribution from extreme flood events georeferenced to nearest degree","Dartmouth Flood Observatory","1985-2003","No","Methods note says manually masked","Historic proxy with poor or missing data in early to mid 1990s","F-01","6","cri-modernization-review v0.3.0","To do","Dartmouth Flood Observatory","1985-2003","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To do","Current layer lineage is known at a high level, but resolution and reproducible extraction details are still to do."
"Flooding","River flood hazard","Water volume residing in river flood plains for 1-in-10 annual probability event","Aqueduct Floods","2030","No","Methods note says manually masked","2030 horizon plus older scenario framework","F-02","7","cri-modernization-review v0.3.0","Varies","Aqueduct Floods product","To do","Aqueduct Floods product","2030","To do","To do","To do","To do","Blocked","To do","Exact climate inputs, flood-model configuration, scenario mapping, and GCM list are still to do."
"Flooding","Coastal flood hazard","Coastal flood risk with sea-level rise and no flood protection assumption","Aqueduct Floods","2030","No","Methods note says manually masked","2030 horizon plus older scenario framework","F-03","8","cri-modernization-review v0.3.0","Varies","Aqueduct Floods product","To do","Aqueduct Floods product","2030","To do","To do","To do","To do","Blocked","To do","Exact sea-level and climate forcing lineage for the B4T slice is still to do."
"Changed rainfall","LGP flip over 120 days","Areas where length of growing period flips from greater than 120 days per year to less than 120 days","Legacy CCAFS / Thornton LGP threshold layer","2050","No","Threshold-flip layer","Legacy future layer with older climate lineage","R-01","9","cri-modernization-review v0.3.0","To do","To do","To do","Legacy CCAFS / Thornton future layer","2050","To do","To do","To do","To do","Blocked","Unclear","Exact current baseline, future forcing, onset logic, bias correction, and GCM list remain unresolved."
"Changed rainfall","LGP flip over 90 days","Areas where length of growing period flips from greater than 90 days per year to less than 90 days","Legacy CCAFS / Thornton LGP threshold layer","2050","No","Threshold-flip layer","Legacy future layer with older climate lineage","R-02","10","cri-modernization-review v0.3.0","To do","To do","To do","Legacy CCAFS / Thornton future layer","2050","To do","To do","To do","To do","Blocked","Unclear","Exact current baseline, future forcing, onset logic, bias correction, and GCM list remain unresolved."
